ghsa_id,cve_id,severity,summary,cwe_ids,ecosystems,packages,vulnerable_version_ranges,first_patched_versions,published_at,updated_at,html_url
GHSA-fm7p-gw32-828p,CVE-2026-54705,medium,mathlive's Lack of Escaping of HTML allows for XSS,CWE-116,npm,mathlive,<= 0.109.2,0.110.0,2026-07-29T17:21:26Z,2026-07-29T17:21:27Z,https://github.com/advisories/GHSA-fm7p-gw32-828p
GHSA-rwqx-fvqh-6wm4,CVE-2026-54704,medium,OpenTelemetry Java Instrumentation: JDBC Auto-Instrumentation Logging Clear-Text Passwords,CWE-532,maven,io.opentelemetry.javaagent:opentelemetry-javaagent,< 2.28.0-alpha,2.28.0-alpha,2026-07-29T17:18:34Z,2026-07-29T17:18:34Z,https://github.com/advisories/GHSA-rwqx-fvqh-6wm4
GHSA-fq3f-m5qm-99f5,CVE-2026-54712,medium,OpenTelemetry Javaagent RMI context propagation allows resource exhaustion,CWE-400,maven,io.opentelemetry.javaagent:opentelemetry-javaagent,< 2.27.0,2.27.0,2026-07-29T17:16:32Z,2026-07-29T17:16:33Z,https://github.com/advisories/GHSA-fq3f-m5qm-99f5
GHSA-pmwx-rm49-xv39,,low,ActiveRecord::Tenanted::Storage::DiskService#path_for has a possible path traversal,CWE-22,rubygems,activerecord-tenanted,< 0.7.0,0.7.0,2026-07-29T17:06:00Z,2026-07-29T17:06:01Z,https://github.com/advisories/GHSA-pmwx-rm49-xv39
GHSA-xvg2-cgv6-6h7v,,high,netfoil: Incorrect block responses could lead to localhost traffic,CWE-693,go,github.com/tinfoil-factory/netfoil,< 0.4.0,0.4.0,2026-07-29T17:03:48Z,2026-07-29T17:03:48Z,https://github.com/advisories/GHSA-xvg2-cgv6-6h7v
GHSA-mjqf-28ph-426h,CVE-2026-54680,critical,Logging operator has Fluentd configuration injection that allows remote code execution,CWE-74; CWE-77,go,github.com/kube-logging/logging-operator,< 0.0.0-20260608145523-cf437d7f1e05,0.0.0-20260608145523-cf437d7f1e05,2026-07-29T17:01:29Z,2026-07-29T17:01:29Z,https://github.com/advisories/GHSA-mjqf-28ph-426h
GHSA-jq8w-8q2f-ffm9,CVE-2026-54693,high,ZITADEL Users Can Self-Verify Email/Phone via API,CWE-863,go,github.com/zitadel/zitadel; github.com/zitadel/zitadel; github.com/zitadel/zitadel,">= 4.0.0, < 4.15.1; >= 2.43.0, < 3.4.11; < 1.80.0-v2.20.0.20260608144108-ed09b3df7f43",1.80.0-v2.20.0.20260608144108-ed09b3df7f43,2026-07-29T16:54:49Z,2026-07-29T16:54:53Z,https://github.com/advisories/GHSA-jq8w-8q2f-ffm9
GHSA-7h3g-4w2f-fj2f,CVE-2026-54727,high,proot-distro has a Container Isolation Bypass via Crafted Restore Archive,CWE-668,pip,proot-distro,<= 5.1.5,5.1.6,2026-07-29T16:42:11Z,2026-07-29T16:42:14Z,https://github.com/advisories/GHSA-7h3g-4w2f-fj2f
GHSA-9xq3-3fqg-4vg7,CVE-2026-54574,high,`proot-distro install` has a Symlink Escape (Arbitrary Host File Write) via Malicious Tar Archive,CWE-61,pip,proot-distro,<= 5.1.4,5.1.5,2026-07-29T16:32:34Z,2026-07-29T16:32:35Z,https://github.com/advisories/GHSA-9xq3-3fqg-4vg7
GHSA-996f-334j-67g7,CVE-2026-52838,low,Easy!Appointments disable_booking_message rendered as raw HTML on public booking page — Stored XSS,CWE-79,composer,alextselegidis/easyappointments,<= 1.5.2,,2026-07-29T16:30:09Z,2026-07-29T16:30:11Z,https://github.com/advisories/GHSA-996f-334j-67g7
